date,timestamp,open,high,low,close,volume
2020-11-17,17:00:00,3588.448,3610.997,3587.933,3609.736,12.4332695287303
2020-11-17,18:00:00,3609.797,3615.942,3607.436,3612.251,8.89371566266141
2020-11-17,19:00:00,3612.231,3621.745,3610.936,3617.799,8.08659969194559
2020-11-17,20:00:00,3617.433,3621.499,3611.939,3613.948,5.18236980371876
2020-11-17,21:00:00,3614.236,3623.799,3613.754,3619.448,6.49796975357458
2020-11-17,22:00:00,3619.751,3619.999,3602.336,3611.154,15.4997694123886
2020-11-17,23:00:00,3611.631,3613.599,3610.733,3613.548,1.0820999587886
2020-11-18,01:00:00,3609.254,3615.054,3605.148,3612.748,3.4704998685047
2020-11-18,02:00:00,3612.749,3613.552,3599.036,3602.545,5.43980979657499
2020-11-18,03:00:00,3602.548,3605.754,3598.739,3599.554,4.37532983586425
2020-11-18,04:00:00,3599.651,3605.299,3598.248,3605.054,3.33686987421243
2020-11-18,05:00:00,3604.954,3607.097,3602.042,3605.739,2.16800991795026
2020-11-18,06:00:00,3606.045,3607.236,3601.742,3603.248,1.93137992697302
2020-11-18,07:00:00,3603.445,3606.542,3594.736,3597.251,4.6761398234521
2020-11-18,08:00:00,3596.748,3598.799,3588.948,3592.242,4.94301881294894
2020-11-18,09:00:00,3592.745,3604.254,3592.236,3599.239,5.31901979917893
2020-11-18,10:00:00,3599.439,3614.254,3598.033,3606.099,8.63485967402812
2020-11-18,11:00:00,3606.248,3615.099,3605.733,3613.539,5.19242980494164
2020-11-18,12:00:00,3613.531,3621.051,3613.099,3618.233,3.81813985703047
2020-11-18,13:00:00,3618.237,3622.954,3616.233,3619.736,5.72409978357609
2020-11-18,14:00:00,3619.797,3626.251,3619.036,3621.751,3.44614286968761
2020-11-18,15:00:00,3621.743,3622.548,3614.594,3617.751,3.0866548830146
2020-11-18,16:00:00,3617.74,3618.599,3607.348,3610.339,7.95981569816445
2020-11-18,17:00:00,3610.346,3617.699,3609.633,3615.636,8.58185967407189
