Ticker,^IXIC,^IXIC,^IXIC,^IXIC,^IXIC,^DJI,^DJI,^DJI,^DJI,^DJI,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^RUT,^RUT,^RUT,^RUT,^RUT
Price,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,
2021-06-30,14509.849609375,14526.8095703125,14478.0595703125,14503.9501953125,5293810000,34290.73828125,34553.16015625,34245.48046875,34502.51171875,295560000,4290.64990234375,4302.43017578125,4287.9599609375,4297.5,4266040000,2307.949951171875,2317.300048828125,2295.429931640625,2310.550048828125,4266040000
2021-07-01,14493.6904296875,14533.5498046875,14439.400390625,14522.3798828125,4410470000,34507.3203125,34640.28125,34498.8515625,34633.53125,268280000,4300.72998046875,4320.66015625,4300.72998046875,4319.93994140625,3788230000,2312.570068359375,2332.280029296875,2312.570068359375,2329.360107421875,3788230000
2021-07-02,14582.98046875,14649.1103515625,14555.33984375,14639.330078125,3751420000,34642.421875,34821.9296875,34613.48828125,34786.3515625,301860000,4326.60009765625,4355.43017578125,4326.60009765625,4352.33984375,3225840000,2328.530029296875,2332.949951171875,2302.93994140625,2305.760009765625,3225840000
2021-07-06,14661.5498046875,14687.0,14529.7998046875,14663.6396484375,4489540000,34790.16015625,34814.19921875,34358.421875,34577.37109375,348430000,4356.4599609375,4356.4599609375,4314.3701171875,4343.5400390625,4309570000,2305.9599609375,2306.909912109375,2256.969970703125,2274.5,4309570000
2021-07-07,14753.41015625,14755.330078125,14580.7900390625,14665.0595703125,4605630000,34604.171875,34708.78125,34435.58984375,34681.7890625,302700000,4351.009765625,4361.8798828125,4329.7900390625,4358.1298828125,4037380000,2274.530029296875,2278.10009765625,2235.5,2252.85009765625,4037380000
2021-07-08,14409.2001953125,14610.0595703125,14371.58984375,14559.7802734375,4575010000,34569.01171875,34569.01171875,34145.58984375,34421.9296875,335690000,4321.06982421875,4330.8798828125,4289.3701171875,4320.81982421875,4347500000,2249.93994140625,2252.719970703125,2192.97998046875,2231.679931640625,4347500000
2021-07-09,14578.4296875,14710.2001953125,14552.259765625,14701.919921875,3826500000,34457.51171875,34893.71875,34457.51171875,34870.16015625,301750000,4329.3798828125,4371.60009765625,4329.3798828125,4369.5498046875,3531120000,2234.830078125,2280.010009765625,2234.830078125,2280.0,3531120000
2021-07-12,14743.8603515625,14761.080078125,14672.6298828125,14733.240234375,3897090000,34836.75,35014.8984375,34730.1484375,34996.1796875,294800000,4372.41015625,4386.68017578125,4364.02978515625,4384.6298828125,3384460000,2279.6298828125,2283.4599609375,2262.260009765625,2281.820068359375,3384460000
2021-07-13,14715.1298828125,14803.6796875,14660.1904296875,14677.650390625,4583460000,34959.9609375,35018.7890625,34876.890625,34888.7890625,322430000,4381.06982421875,4392.3701171875,4366.919921875,4369.2099609375,3695430000,2280.489990234375,2280.489990234375,2238.3701171875,2238.860107421875,3695430000
2021-07-14,14780.900390625,14790.5498046875,14632.9501953125,14644.9501953125,4496220000,34920.828125,35069.1796875,34826.87109375,34933.23046875,344340000,4380.10986328125,4393.68017578125,4362.35986328125,4374.2998046875,4006370000,2240.25,2254.81005859375,2201.22998046875,2202.360107421875,4006370000
2021-07-15,14635.7802734375,14650.3701171875,14451.7998046875,14543.1298828125,4512550000,34924.80859375,34990.41015625,34762.87109375,34987.01953125,320450000,4369.02001953125,4369.02001953125,4340.7001953125,4360.02978515625,3905230000,2201.27001953125,2202.75,2166.330078125,2190.2900390625,3905230000
2021-07-16,14597.509765625,14623.01953125,14413.3203125,14427.240234375,4069530000,35007.94140625,35090.01171875,34647.8203125,34687.8515625,322980000,4367.43017578125,4375.08984375,4322.52978515625,4327.16015625,3985700000,2191.8701171875,2210.5,2160.530029296875,2163.239990234375,3985700000
2021-07-19,14235.98046875,14313.599609375,14178.66015625,14274.98046875,4537130000,34528.48046875,34528.48046875,33741.76171875,33962.0390625,440440000,4296.39990234375,4296.39990234375,4233.1298828125,4258.490234375,5157660000,2159.7099609375,2159.7099609375,2107.070068359375,2130.679931640625,5157660000
