datetime,SPY
2023-02-06 17:30:00,409.83
2023-02-07 17:30:00,415.19
2023-02-08 17:30:00,410.65
2023-02-09 17:30:00,407.09
2023-02-10 17:30:00,408.04
2023-02-13 17:30:00,412.83
2023-02-14 17:30:00,412.64
2023-02-15 17:30:00,413.98
2023-02-16 17:30:00,408.28
2023-02-17 17:30:00,407.26
2023-02-21 17:30:00,399.09
2023-02-22 17:30:00,398.54
2023-02-23 17:30:00,400.66
2023-02-24 17:30:00,396.38
2023-02-27 17:30:00,397.73
2023-02-28 17:30:00,396.26
2023-03-01 17:30:00,394.74
2023-03-02 17:30:00,397.81
2023-03-03 17:30:00,404.19
2023-03-06 17:30:00,404.47
2023-03-07 17:30:00,398.27
2023-03-08 17:30:00,398.92
2023-03-09 17:30:00,391.56
2023-03-10 17:30:00,385.91
2023-03-13 16:30:00,385.36
2023-03-14 16:30:00,391.73
2023-03-15 16:30:00,389.28
2023-03-16 16:30:00,396.11
2023-03-17 16:30:00,389.99
2023-03-20 16:30:00,393.74
2023-03-21 16:30:00,398.91
2023-03-22 16:30:00,392.11
2023-03-23 16:30:00,393.17
2023-03-24 16:30:00,395.75
2023-03-27 16:30:00,396.49
2023-03-28 16:30:00,395.6
2023-03-29 16:30:00,401.35
2023-03-30 16:30:00,403.7
2023-03-31 16:30:00,409.39
2023-04-03 16:30:00,410.95
2023-04-04 16:30:00,408.67
2023-04-05 16:30:00,407.6
2023-04-06 16:30:00,409.19
2023-04-10 16:30:00,409.61
2023-04-11 16:30:00,409.72
2023-04-12 16:30:00,408.05
2023-04-13 16:30:00,413.47
2023-04-14 16:30:00,412.46
2023-04-17 16:30:00,413.94
2023-04-18 16:30:00,414.21
2023-04-19 16:30:00,414.14
2023-04-20 16:30:00,411.88
2023-04-21 16:30:00,412.2
2023-04-24 16:30:00,412.63
2023-04-25 16:30:00,406.08
2023-04-26 16:30:00,404.36
2023-04-27 16:30:00,412.41
2023-04-28 16:30:00,415.93
2023-05-01 16:30:00,415.51
2023-05-02 16:30:00,410.84
2023-05-03 16:30:00,408.02
2023-05-04 16:30:00,405.13
2023-05-05 16:30:00,412.63
2023-05-08 16:30:00,412.74
2023-05-09 16:30:00,410.93
2023-05-10 16:30:00,412.85
2023-05-11 16:30:00,412.13
2023-05-12 16:30:00,411.59
2023-05-15 16:30:00,413.01
2023-05-16 16:30:00,410.25
2023-05-17 16:30:00,415.23
2023-05-18 16:30:00,419.23
2023-05-19 16:30:00,418.62
2023-05-22 16:30:00,418.79
2023-05-23 16:30:00,414.09
2023-05-24 16:30:00,411.09
2023-05-25 16:30:00,414.65
2023-05-26 16:30:00,420.02
2023-05-30 16:30:00,420.18
